Incident ID,Date,State,City,Attack,Severity,Sector,Financial Loss,Affected Users,Source,Status
CR00001,05-12-2024,Karnataka,Mangaluru,Identity Theft,Medium,E-commerce,4236007,46179,User Report,Resolved
CR00002,07-03-2025,Karnataka,Mangaluru,Phishing,Low,Banking,2593248,38772,User Report,Open
CR00003,26-12-2024,Puducherry,Puducherry,Online Fraud,Medium,Personal,4373794,549,News,Open
CR00004,28-02-2025,Chandigarh,Chandigarh,Online Fraud,Medium,Personal,688052,38985,News,Open
CR00005,09-03-2025,Chhattisgarh,Raipur,Identity Theft,Medium,Education,1990350,21986,Organization,Open
CR00006,23-12-2024,Tamil Nadu,Madurai,DDoS,Critical,Education,881779,10057,CERT-In,Open
CR00007,12-05-2026,West Bengal,Durgapur,Identity Theft,Medium,Personal,4226597,14023,CERT-In,Open
CR00008,02-11-2024,Gujarat,Rajkot,Data Breach,Low,Government,1758636,49472,Organization,Resolved
CR00009,02-09-2025,Jammu and Kashmir,Jammu,Data Breach,High,Government,4429541,1736,User Report,Open
CR00010,29-07-2024,Karnataka,Mysuru,Phishing,Critical,Education,79181,1028,News,Investigating
CR00011,24-05-2026,Ladakh,Leh,DDoS,Medium,Banking,3752677,38203,Organization,Investigating
CR00012,12-07-2024,Lakshadweep,Kavaratti,Phishing,Low,IT,551219,42973,User Report,Open
CR00013,30-06-2024,Himachal Pradesh,Dharamshala,DDoS,Medium,Corporate,3756102,14997,CERT-In,Investigating
CR00014,16-07-2025,Kerala,Thiruvananthapuram,Identity Theft,Critical,Education,2554020,34986,User Report,Open
CR00015,09-06-2024,Ladakh,Leh,Online Fraud,Medium,E-commerce,3941001,44987,CERT-In,Resolved
CR00016,04-06-2025,Nagaland,Kohima,Malware,Critical,Education,882438,13161,CERT-In,Open
CR00017,19-05-2026,Jharkhand,Jamshedpur,DDoS,Low,E-commerce,3092320,43161,Organization,Resolved
CR00018,07-08-2025,Karnataka,Mysuru,Malware,Critical,IT,3054984,29671,User Report,Open
CR00019,02-04-2025,Telangana,Warangal,Online Fraud,Low,E-commerce,4195402,1082,Organization,Investigating
CR00020,10-09-2025,Gujarat,Surat,DDoS,Low,E-commerce,2015873,24451,CERT-In,Open
CR00021,13-07-2025,Haryana,Panipat,Identity Theft,High,Healthcare,4051210,20340,News,Investigating
CR00022,19-01-2026,Karnataka,Mysuru,DDoS,Low,Personal,4742283,40639,User Report,Open
CR00023,22-08-2025,Arunachal Pradesh,Naharlagun,DDoS,Critical,IT,4584155,36020,User Report,Resolved
CR00024,08-05-2026,Gujarat,Ahmedabad,Identity Theft,High,Corporate,85435,34542,Organization,Resolved
CR00025,12-02-2024,Jammu and Kashmir,Srinagar,Online Fraud,Critical,Government,3954913,5181,User Report,Open
CR00026,18-01-2026,Arunachal Pradesh,Itanagar,Data Breach,Medium,Healthcare,3120892,13455,CERT-In,Open
CR00027,16-05-2024,Sikkim,Gangtok,Malware,Critical,Personal,4712505,48009,User Report,Investigating
CR00028,07-05-2025,Uttar Pradesh,Noida,Phishing,High,E-commerce,2900596,30002,News,Resolved
CR00029,08-08-2024,Manipur,Imphal,DDoS,Critical,Government,1662077,30442,Organization,Investigating
CR00030,04-04-2025,Jammu and Kashmir,Jammu,Data Breach,Medium,E-commerce,1626742,45286,Organization,Resolved
CR00031,25-08-2024,Ladakh,Leh,DDoS,High,Education,4817611,23932,CERT-In,Resolved
CR00032,04-03-2025,Uttarakhand,Dehradun,Malware,Medium,Personal,2207760,4469,User Report,Resolved
CR00033,02-04-2026,Chandigarh,Chandigarh,DDoS,Low,Corporate,2321378,10192,User Report,Open
CR00034,06-04-2024,Uttarakhand,Haridwar,DDoS,High,Personal,2717311,39701,User Report,Open
CR00035,22-12-2025,Telangana,Hyderabad,DDoS,Critical,Banking,4206810,47710,Organization,Resolved
CR00036,16-04-2024,Meghalaya,Shillong,Phishing,Low,Education,2369800,21751,News,Resolved
CR00037,06-01-2026,Manipur,Imphal,Data Breach,Critical,Government,1931431,34878,User Report,Investigating
CR00038,04-04-2024,Jharkhand,Ranchi,Phishing,Critical,IT,3603693,43104,Organization,Open
CR00039,22-08-2025,Manipur,Imphal,Phishing,Medium,Corporate,2492550,42443,News,Open
CR00040,28-05-2026,Delhi,New Delhi,Online Fraud,Critical,Healthcare,2862724,45824,Organization,Investigating
CR00041,14-02-2026,Tamil Nadu,Chennai,Ransomware,High,Corporate,3346657,39438,Organization,Investigating
CR00042,08-04-2025,Manipur,Imphal,DDoS,Medium,Personal,4613432,13124,User Report,Open
CR00043,30-10-2024,Karnataka,Bengaluru,Phishing,Low,Government,1901138,40318,CERT-In,Investigating
CR00044,07-02-2025,Andhra Pradesh,Vijayawada,Online Fraud,Medium,Education,1061134,23996,News,Resolved
CR00045,29-06-2024,Karnataka,Mangaluru,Data Breach,Medium,Banking,2374232,3326,User Report,Resolved
CR00046,15-03-2025,Kerala,Kozhikode,Malware,Medium,Personal,471556,49508,News,Investigating
CR00047,10-04-2025,Maharashtra,Mumbai,Data Breach,Medium,Personal,1060060,12974,Organization,Investigating
CR00048,19-01-2024,Nagaland,Kohima,Identity Theft,Low,IT,2919027,41440,User Report,Resolved
